Date;Type;Gear;Name;Dist_km;Elv_meter;Elapsed_Time;Moving_Time;Start_Time;Day_of_Week;Speed_km/h;MaxSpeed_km/h;Elv_High_meter;Elv_Low_meter;Temp_°C;Cal;Energy_KJ;Segs;PRs;Group_Size;Kudos;Comments;Photos;Private;Visibility;Dist_start_to_end_km;Description;Tiles_calculated;Device_App;Activity_Id
01/17/2022;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;40.49;110;01:38:42;01:30:57;13:18:38;Monday;26.7;37.5;-62;-80;5;1,239;598;33;6;1;25;;1;;Everyone;0.21;;Yes;Garmin Edge 520 Plus;6537935767
01/15/2022;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;70.02;107;02:37:47;02:31:44;11:28:52;Saturday;27.7;39.4;69;-2;;1,923;1,087;60;19;1;21;;1;;Everyone;0.81;;;Garmin Edge 520 Plus;6526947292
01/14/2022;Ride;Stadsfiets; Middagrit;16.36;7;01:05:42;00:50:13;16:36:56;Friday;19.6;28.8;6;1;12;343;148;11;2;1;;;;Yes;Only you;0.63;;;Garmin Edge 520 Plus;6524001831
1-10-2022;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;40.04;35;01:27:29;01:22:14;13:06:18;Monday;29.2;35.4;-19;-34;3;1,17;608;28;6;1;23;;3;;Everyone;0.43;;;Garmin Edge 520 Plus;6501397638
1-8-2022;Ride;Stadsfiets; Ochtendrit;11.96;28;01:00:45;00:49:52;09:45:12;Saturday;14.4;26.3;9;-1;11;214;108;10;;1;;;;Yes;Only you;0.81;Met Jeanet;;Garmin Edge 520 Plus;6492606155
1-7-2022;Ride;Racefiets Wilier Mortirolo (2009); Willeskop zon, hagel en vette klei;53.20;122;03:18:04;02:17:28;10:54:42;Friday;23.2;36.8;10;-8;2;1,483;727;49;28;1;21;6;4;;Everyone;0.82;Ongeplande moddertocht, niet ideaal met racefiets. Maar mooi wandelgebied 😊.;;Garmin Edge 520 Plus;6486089932
1-6-2022;Ride;Stadsfiets; Middagrit;12.63;16;00:57:07;00:45:25;16:09:36;Thursday;16.7;24.6;7;2;10;243;107;9;;1;;;;Yes;Only you;0.92;;;Garmin Edge 520 Plus;6485018678
1-5-2022;Ride;Stadsfiets; Ochtendrit;9.00;0;00:45:00;00:45:00;09:30:00;Wednesday;12.0;0.0;0;0;;;;;;1;;;;Yes;Only you;0.00;Met Jeanet;;;6494715218
1-4-2022;Ride;Stadsfiets; Middagrit;9.76;11;00:48:08;00:33:31;16:02:53;Tuesday;17.5;29.6;10;-2;12;184;83;6;1;1;;;;Yes;Only you;0.82;;;Garmin Edge 520 Plus;6474717239
1-3-2022;Ride;Stadsfiets; Jaarbeurs v.v.;20.00;0;01:00:00;01:00:00;16:30:00;Monday;20.0;0.0;0;0;;;;;;1;;;;Yes;Only you;0.00;;;;6471404616
1-3-2022;Ride;Racefiets Wilier Mortirolo (2009); Rondje Ankeveen;75.81;157;03:09:43;02:52:20;10:10:57;Monday;26.4;37.4;22;-8;6;2,105;1,074;73;31;1;5;1;3;;Everyone;0.46;Daar misten nog twee vierkantjes;;Garmin Edge 520 Plus;6465840695
1-2-2022;Ride;Racefiets Wilier Mortirolo (2009); Ochtendrit;48.46;156;02:53:46;02:00:50;10:46:46;Sunday;24.1;35.2;42;-6;8;1,269;651;25;9;5;23;;1;;Everyone;0.63;Beetje door het bos met Eric, Ruud, Gertjan en Jaap;;Garmin Edge 520 Plus;6460684339
12/31/2021;Ride;Racefiets Wilier Mortirolo (2009); The End;54.86;109;02:09:19;02:00:04;11:28:24;Friday;27.4;37.6;40;-4;9;1,536;812;41;10;1;18;2;2;;Everyone;1.16;Topdag om te bewegen buiten! Beetje gesmokkeld met de zonsopgangfoto, toen was ik nog niet op de fiets. But just as in love and war, on Strava all is fair. Ik wens je een goed 2022!;;Garmin Edge 520 Plus;6450985535
12/30/2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;49.98;198;02:01:08;01:59:13;11:13:56;Thursday;25.2;39.6;38;3;9;1,449;704;46;5;2;21;;1;;Everyone;0.01;Met Luttik door de voorjaarsstorm;;Garmin Edge 520 Plus;6447231908
12/27/2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;70.37;103;02:41:54;02:31:54;13:16:12;Monday;27.8;36.5;34;0;3;2;1,043;39;14;1;21;;1;;Everyone;1.21;;;Garmin Edge 520 Plus;6433824518
12/21/2021;Ride;Racefiets Wilier Mortirolo (2009); Kortste dag met langste man rit.;61.22;88;02:26:22;02:18:35;14:04:21;Tuesday;26.5;35.1;11;-6;;1,654;839;57;13;2;18;2;1;;Everyone;0.79;Met Gertjan dus 😊;;Garmin Edge 520 Plus;6411222155
12/19/2021;Ride;Racefiets Wilier Mortirolo (2009); Ochtendrit;55.25;116;02:07:21;02:02:02;10:40:12;Sunday;27.2;37.4;12;-5;3;1,541;807;43;27;1;23;;1;;Everyone;0.02;;;Garmin Edge 520 Plus;6402334217
12/16/2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;60.32;146;02:19:29;02:11:39;13:06:50;Thursday;27.5;42.9;37;-6;6;1,673;900;55;13;1;21;3;1;;Everyone;1.25;;;Garmin Edge 520 Plus;6390978854
12/13/2021;Ride;Racefiets Wilier Mortirolo (2009); Maandag wasdag;65.06;124;02:31:32;02:21:06;11:55:24;Monday;27.7;36.9;11;-6;6;1,88;974;57;15;1;10;1;1;;Everyone;0.84;;;Garmin Edge 520 Plus;6378649540
12-12-2021;Walk;; Middagwandeling;1.43;0;00:31:10;00:22:16;16:07:09;Sunday;3.8;5.9;-22;-25;12;24;;;;1;;;;Yes;Only you;0.02;;;Garmin Edge 520 Plus;6378649350
12-11-2021;Ride;Hybride Red Bull Multisport (2006); Middagrit;13.87;27;01:33:42;00:59:46;15:51:44;Saturday;13.9;21.7;17;2;;243;102;2;2;1;;;;Yes;Only you;0.06;;;Garmin Edge 520 Plus;6371373561
12-11-2021;Walk;; Middagwandeling;3.80;7;00:58:42;00:51:18;12:23:36;Saturday;4.4;6.2;20;14;11;55;;;;1;;;;Yes;Only you;0.31;;;Garmin Edge 520 Plus;6371373468
12-9-2021;Ride;Racefiets Wilier Mortirolo (2009); Ochtendrit;35.20;70;01:21:07;01:20:31;10:59:33;Thursday;26.2;35.0;8;-4;1;956;485;24;14;1;;;;Yes;Only you;0.47;;;Garmin Edge 520 Plus;6362131910
12-8-2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;37.74;96;01:26:20;01:25:39;11:01:25;Wednesday;26.4;38.0;13;-12;3;1,041;535;25;8;1;;;;Yes;Only you;0.01;;;Garmin Edge 520 Plus;6358236941
12-6-2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;35.02;98;01:19:43;01:19:19;12:49:40;Monday;26.5;34.2;16;-4;1;977;496;39;3;1;;;;Yes;Only you;0.81;;;Garmin Edge 520 Plus;6350429848
11/29/2021;Ride;Racefiets Wilier Mortirolo (2009); Ommetje Hilversum;80.06;165;03:15:37;03:04:23;11:51:57;Monday;26.1;37.7;15;-14;3;2,16;1,113;71;29;1;2;1;3;;Everyone;0.47;;;Garmin Edge 520 Plus;6321559189
11/22/2021;Ride;Racefiets Wilier Mortirolo (2009); Dodewaard;114.33;158;04:52:05;04:08:59;09:33:50;Monday;27.6;40.1;30;-11;7;3,165;1,662;83;42;1;26;1;3;;Everyone;1.15;Weer eens wat vierkantjes gescoord, stuk of 10 (16 zelfs blijkt na upload naar Veloviewer!) En twee keer met de pont omdat het zo'n mooie dag is 🌞;;Garmin Edge 520 Plus;6292272691
11/20/2021;Ride;Racefiets Wilier Mortirolo (2009); Ochtendrit;77.00;207;02:57:30;02:54:39;10:00:48;Saturday;26.5;37.2;31;-5;7;2,261;1,125;74;29;1;1;;1;;Everyone;0.00;;;Garmin Edge 520 Plus;6282966907
11/19/2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;56.17;124;01:58:36;01:57:35;14:01:02;Friday;28.7;42.9;44;-4;9;1,652;879;68;9;1;8;;;;Everyone;1.22;;;Garmin Edge 520 Plus;6279140920
11/15/2021;Ride;Racefiets Wilier Mortirolo (2009); Rondje Ermelo;111.91;220;07:39:36;04:10:52;09:30:10;Monday;26.8;40.2;46;-6;3;3,128;1,609;86;17;1;13;;1;;Everyone;0.47;Pianoles gehad: hoe de piano zich echt nuttig kan maken. Daar was Mozart echt niet mee bezig op die leeftijd!;;Garmin Edge 520 Plus;6261685120
11-6-2021;Ride;Racefiets Wilier Mortirolo (2009); BRM 200 Dronten : Wieden – Friesland en de NOP;180.27;361;09:36:41;06:53:10;08:42:27;Saturday;26.2;39.6;47;-7;8;5,185;2,603;83;82;1;30;3;5;;Everyone;0.04;In totaal 207 km. Vanaf de Spar in Nagele (op zaterdag tot 18:00 open😊) niet meer opgenomen. Best wel wind vandaag 😅,;;Garmin Edge 520 Plus;6221190466
11-1-2021;Ride;Racefiets Wilier Mortirolo (2009); Krimpener- en Alblasserwaard, pelgrimtraining 😊;130.12;175;05:26:15;04:50:47;10:08:22;Monday;26.8;46.0;22;-3;9;3,707;1,937;86;52;1;27;11;5;;Everyone;0.02;Afgelopen nacht heb ik me ingeschreven voor Uppsala - Trondheim - Uppsala 2022 (https://pilgrimbrevet.se). Dus vandaag maar gelijk begonnen met de voorbereiding! Dit lijkt mij een hele mooie tocht, het is 1500 km, waar je vijf dagen over mag doen. Alternatief voor London - Edinburgh - London (daar ben ik op zich voor gekwalificeerd op basis van de brevetten van de voorgaande vier jaren), zelfde afstand, zelfde tijdlimiet (zijn dus alle twee officiële brevetten) eens in de vier jaar verreden (voor UTU wordt dit de tweede keer, LEL bestaat sinds 1989). LEL heeft ca 1600 deelnemers, voor de navigatie moet je goed wakker blijven want er zijn heel veel veranderingen van richting, links verkeer en uiteraard het uitdagende weer. Maar wel gaaf denk ik, zeker ook landschappelijk indrukwekkend. Bij UTU is het landschap Noord-Scandinavisch indrukwekkend, is er maar een weg, en er kunnen 100 deelnemers zich aanmelden. En vanaf april volgend jaar komt er een veerdienst tussen Eemshaven en Kristiansand (https://nos.nl/artikel/2403944-groningse-eemshaven-krijgt-vaste-veerverbinding-met-noorwegen), dat komt wel heel goed uit. Ik zie op de website trouwens dat er nu nog 9 plaatsen beschikbaar zijn...;;Garmin Edge 520 Plus;6197139657
10/29/2021;Ride;Racefiets Wilier Mortirolo (2009); Ff naar Marijn 😊;123.69;150;05:31:30;04:33:35;12:45:53;Friday;27.1;37.7;49;-2;13;3,327;1,815;82;31;1;;;;Yes;Only you;0.02;;;Garmin Edge 520 Plus;6183760043
10/26/2021;Velomobile;QuestXS 174; 891/2123 terug;48.42;56;01:53:17;01:38:51;17:24:16;Tuesday;29.4;48.0;7;-6;13;1,476;842;6;;1;;;;Yes;Only you;36.38;Dat ging heel moeilijk, sporing gisteren ingesteld kan ik weer doen na de confrontatie met stoeprand vanochtend.;;Garmin Edge 520 Plus;6170248280
10/26/2021;Velomobile;QuestXS 174; 891/2123 heen;47.49;55;01:48:30;01:35:04;05:40:14;Tuesday;30.0;44.8;14;-6;9;1,5;834;6;;1;;;;Yes;Only you;36.05;"Vizier steeds beslagen, zag niks, een keer in de berm beland, vlak voor eindpunt keihard stoep geramd, lekke band, deuk in velg ;-(";;Garmin Edge 520 Plus;6167563392
10/24/2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;70.32;131;02:35:12;02:34:07;14:11:34;Sunday;27.4;55.0;71;3;9;1,94;1,048;60;10;1;;;;Yes;Only you;0.14;;;Garmin Edge 520 Plus;6160617223
10/23/2021;Velomobile;QuestXS 174; Middagrit;49.52;46;01:45:52;01:34:24;13:16:48;Saturday;31.5;48.1;14;2;12;1,609;955;7;2;1;;;1;Yes;Only you;1.04;;;Garmin Edge 520 Plus;6154615648
10/18/2021;Ride;Racefiets Wilier Mortirolo (2009); Alblasserwaard;95.36;123;03:44:53;03:25:10;10:59:29;Monday;27.9;43.2;38;2;9;2,722;1,422;78;27;1;;;1;Yes;Only you;1.25;;;Garmin Edge 520 Plus;6131140643
10/15/2021;Velomobile;QuestXS 174; Testrit met DIY vizier;37.12;62;01:19:07;01:12:56;13:28:15;Friday;30.5;60.5;11;-4;13;1,162;741;6;;1;22;6;3;;Everyone;0.03;Bevestigingsmateriaal van een scooter windscherm, en anti reflectie met stuk zwart vilt. Pretty good! https://storyteller.fit/storymap/6116298027;;Garmin Edge 520 Plus;6116298027
10-11-2021;Ride;Racefiets Wilier Mortirolo (2009); Vliegeren;76.77;95;02:50:23;02:47:08;13:54:29;Monday;27.6;41.0;24;3;11;2,151;1,173;67;38;1;26;;;;Everyone;0.02;;Yes;Garmin Edge 520 Plus;6097728101
10-9-2021;Ride;MTB Cube Reaction C:62 Race (2018); Verjaardag Thomas;29.08;115;02:01:31;01:30:14;13:29:45;Saturday;19.3;41.0;61;8;17;595;765;15;15;2;;;;Yes;Only you;0.30;;Yes;Garmin Edge 520 Plus;6088745437
10-8-2021;Velomobile;QuestXS 174; Avondrit;24.16;13;00:47:00;00:47:00;19:13:44;Friday;30.8;47.9;6;0;12;736;464;4;1;1;;;;Yes;Only you;1.12;;;Garmin Edge 520 Plus;6083254385
10-6-2021;Ride;Gravel bike Genesis CdA10 (2014); Terug van de oppasdag;53.90;85;02:02:31;01:57:49;17:56:25;Wednesday;27.4;34.9;25;-29;9;1,508;1,272;48;4;1;;;1;Yes;Only you;41.13;;;Garmin Edge 520 Plus;6073646482
10-5-2021;Ride;Gravel bike Genesis CdA10 (2014); Naar Ermelo;60.51;101;02:22:23;02:11:44;17:18:28;Tuesday;27.6;43.9;35;-6;15;1,626;1,475;37;19;1;;;;Yes;Only you;41.43;;;Garmin Edge 520 Plus;6068795182
10-4-2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;100.06;175;03:57:14;03:51:06;15:00:33;Monday;26.0;38.5;13;-5;12;2,736;1,375;82;38;1;;;;Yes;Only you;0.46;;;Garmin Edge 520 Plus;6063171704
09/28/2021;Velomobile;QuestXS 174; 890/2122 terug;49.81;56;01:32:48;01:25:30;17:10:28;Tuesday;35.0;50.8;22;1;22;1,569;1,144;6;;1;;;;Yes;Only you;36.37;;;Garmin Edge 520 Plus;6033495059
09/28/2021;Velomobile;QuestXS 174; 890/2122 heen;48.38;45;01:20:38;01:19:15;10:45:09;Tuesday;36.6;49.7;14;0;16;1,496;1,177;6;2;1;;;;Yes;Only you;36.37;;;Garmin Edge 520 Plus;6031575704
09/26/2021;Walk;; Putten;6.78;20;01:51:14;01:30:36;09:56:55;Sunday;4.5;15.8;22;8;22;114;;;;1;;;;Yes;Only you;0.04;;;Garmin Edge 520 Plus;6031574958
09/25/2021;Ride;Racefiets Wilier Mortirolo (2009); Met Luttik;58.93;82;02:34:28;02:16:14;13:19:52;Saturday;26.0;47.5;48;1;17;1,586;852;65;10;2;;;;Yes;Only you;0.73;;;Garmin Edge 520 Plus;6017277405
09/22/2021;Velomobile;QuestXS 174; 889/2121 terug;48.81;68;01:25:13;01:22:34;17:23:08;Wednesday;35.5;50.4;18;0;20;1,538;1,163;4;;1;;;;Yes;Only you;36.36;;;Garmin Edge 520 Plus;6002529669
09/22/2021;Velomobile;QuestXS 174; 889/2121 heen;48.11;42;01:27:09;01:22:52;05:49:45;Wednesday;34.8;47.5;15;-1;12;1,534;1,058;6;;1;;;1;Yes;Only you;36.29;;;Garmin Edge 520 Plus;5999452270
09/19/2021;Walk;; Langs de Grecht;8.99;8;02:14:47;01:59:17;09:32:07;Sunday;4.5;6.1;6;1;24;158;;;;1;;;;Yes;Only you;0.01;;;Garmin Edge 520 Plus;5985834838
09/18/2021;Velomobile;QuestXS 174; Middagrit;54.73;50;01:48:56;01:43:33;15:28:19;Saturday;31.7;55.4;45;5;24;1,643;1,206;2;2;1;;;;Yes;Only you;41.49;;;Garmin Edge 520 Plus;5980878589
09/18/2021;Velomobile;QuestXS 174; Ochtendrit;56.70;66;02:11:15;01:50:18;09:40:27;Saturday;30.8;62.6;38;-1;22;1,735;1,185;2;;1;;;;Yes;Only you;41.45;;;Garmin Edge 520 Plus;5978574497
09/16/2021;Ride;Hybride Red Bull Multisport (2006); 888/2120 terug;47.32;56;01:41:25;01:38:57;17:24:03;Thursday;28.7;36.7;14;-1;16;1,393;748;53;1;1;;;;Yes;Only you;36.29;;;Garmin Edge 520 Plus;5971110378
09/16/2021;Ride;Hybride Red Bull Multisport (2006); 888/2120 heen;46.03;50;01:46:00;01:45:12;05:42:52;Thursday;26.3;40.0;10;-5;11;1,205;624;43;;1;;;;Yes;Only you;36.20;;;Garmin Edge 520 Plus;5967886121
09/14/2021;Ride;Hybride Red Bull Multisport (2006); 887/2119 terug;49.77;50;01:51:35;01:51:15;17:01:08;Tuesday;26.8;34.6;23;-1;17;1,353;711;59;;1;;;;Yes;Only you;37.09;;;Garmin Edge 520 Plus;5960312221
09/14/2021;Ride;Hybride Red Bull Multisport (2006); 887/2119 heen;52.73;55;02:07:42;02:03:16;05:31:00;Tuesday;25.7;36.7;15;-3;9;1,377;697;57;8;1;;;1;Yes;Only you;36.35;;;Garmin Edge 520 Plus;5957256043
9-7-2021;Ride;Hybride Red Bull Multisport (2006); 886/2118 terug;46.93;64;01:41:11;01:39:05;16:58:05;Tuesday;28.4;38.5;18;-1;22;1,391;745;61;1;1;;;;Yes;Only you;36.06;;;Garmin Edge 520 Plus;5922028285
9-7-2021;Ride;Hybride Red Bull Multisport (2006); 886/2118 heen;45.44;50;01:45:11;01:42:57;05:59:56;Tuesday;26.5;34.2;12;-5;11;1,204;621;64;;1;;;;Yes;Only you;36.34;;;Garmin Edge 520 Plus;5919185508
9-6-2021;Ride;Racefiets Wilier Mortirolo (2009); Middagrit;58.31;62;02:34:51;02:32:25;14:49:39;Monday;23.0;32.4;-55;-69;21;1,511;640;58;4;1;;;1;Yes;Only you;1.23;;;Garmin Edge 520 Plus;5919185419
9-2-2021;Ride;Racefiets Wilier Mortirolo (2009); Dolomiti 2021, verlengde Sellaronde;85.21;2,434;06:43:44;04:33:00;10:15:48;Thursday;18.7;73.1;2,239;1,414;17;3,567;2,16;68;58;2;33;8;12;;Everyone;0.02;"Eerst gezellig met z'n drieen net na top Valporola cappuccino met enorme strudels 😀, en daarna in Corvara gesplitst. Ruud nog ff de Campalongo opknallen en alsof het niets is een Amsterdammer inhalen, en Gertjan en ik rechtsaf, de snelste omweg naar Arabba. Ik had aanvankelijk niet veel zin vandaag, maar heb er toch erg van genoten. Ging ook wel weer ok, op Strava op dit moment (dat kan natuurlijk nog veranderen!) de snelste rijd vandaag over de laatste km van de Falzarego & over de hele Pordoi afdaling & local legend op de afdaling naar de weg vanuit ons gehucht; ik lijk wel allround, een echte klassementsrenner 😂. Het weer, de uitzichten en het samen fietsen (inclusief met heel veel anderen op de Sellaronde) maakten het een topdag! Prachtige afsluiting van de vakantie, we hebben een gave week gehad hier. Morgen naar huis 😊";;Garmin Edge 520 Plus;5893600946
9-1-2021;Hike;; Dolomiti 2021, Lagazuoi;5.79;692;05:19:44;02:05:35;10:38:49;Wednesday;2.8;6.8;2,763;2,035;23;604;;3;3;3;28;4;8;;Everyone;0.21;Omhoog gelopen en ook weer naar beneden 😊. Kilometers ca 9 en 800 hm. Superdag!;;Garmin Edge 520 Plus;5888412843
08/31/2021;Ride;Racefiets Wilier Mortirolo (2009); Dolomiti 2021, passo Fedaia;67.77;2,004;06:29:25;03:45:11;10:37:27;Tuesday;18.1;70.6;2,252;1,073;13;2,984;1,825;42;16;2;33;1;8;;Everyone;0.01;Alles droog aan de lijn op zolder vanochtend, dus klaar voor het volgende rondje. Dit keer met z'n drieën, en met goed weer begonnen aam de Fedaia klim, beetje hagel onderweg, plensbui toen we binnenzaten, en naar zonnig Canazei afgedaald op een droge weg vanaf na de tunnels. Klim van de Pordoi was een herhaling qua weer en boven opnieuw in het toilet de air dryer gebruikt om een beetje op te drogen 😊. In Arabba ff inkopen gedaan en daarmee op de rug het 10% klimmetje naar huis gedaan. Alweer Dolomiti biertje verdiend!;;Garmin Edge 520 Plus;5882676000
08/30/2021;Ride;Racefiets Wilier Mortirolo (2009); Dolomiti 2021, passo Giau!;63.07;1,513;05:24:49;03:35:01;10:58:46;Monday;17.6;62.3;2,231;1,326;9;2,576;1,509;32;22;2;33;1;7;;Everyone;0.02;Vanaf de voet van de Giau lichte regen, goede temperatuur en laatste kilometers boven koud! Binnen in het restaurant lekker bibberen, grote tosti's met cappuccino's verorberen en blij zijn met hoe ik eindelijk de Giau een bijna prettige klim vond 😊. Niet geforceerd, niet stuk en vijf minuten sneller dan drie jaar geleden en überhaupt sneller dan alle andere keren (o.a. drie keer in de Maratona, maar dan heb je al wat hoogtemeters erop zitten natuurlijk). Boven besloten om te keren want regen en ijskoud, en de nu nog droge kleren zijn dan al nat vóór de volgende afdaling. Beneden begon na de Colle Santa Lucia de zon door te breken en thuis troffen we de anderen in de tuinmeubelen aan met bier en kaasplankje 😂. Wij kregen ook een biertje, na tien minuten begon het te regenen.;;Garmin Edge 520 Plus;5877320015
08/29/2021;Ride;Racefiets Wilier Mortirolo (2009); Dolomiti 2021, giro 1;36.38;795;02:06:14;01:41:36;16:32:51;Sunday;21.5;59.0;1,657;1,02;12;1,461;855;13;6;3;29;;4;;Everyone;0.02;Tutti corridori alla partenza! Eerste ritje met de mannen 😊. Kort rondje met dezelfde klimmetjes als vanochtend, maar nu op m'n racefiets. Vakantiefietser af!;;Garmin Edge 520 Plus;5873538464
08/29/2021;Ride;Gravel bike Genesis CdA10 (2014); Road to.......Arabba! Cherz;39.16;839;03:15:18;02:15:56;09:27:12;Sunday;17.3;59.0;1,664;970;11;1,492;1,181;15;7;1;28;7;7;;Everyone;8.29;De Albergo Malga Ciapéle heeft een huiselijke sfeer, je kunt op je sokken naar de receptie lopen, er zoemen geluiden uit andere kamers rond, televisie, rochelen, snurken, toilet, wekker etc. In de eetzaal is het ontbijt precies dat: eetbaar, koffie best vies en met enig muzikaal huiselijk geweld: vrij harde Anton aus Tirol varianten inclusief hoogtepunten van het Nederlandse lied zoals ‘hé buschauffeur, de hele bus moet pissen’ 😁! Maar dat was gisteren, vanochtend geen muziek en betere koffie, zo zie je maar weer! Ze zijn ook heel vriendelijk 😊. Fijn aan het hotel is dat je, na het verlaten te hebben, rechtsaf kan slaan, naar beneden en niet perse linksaf, naar boven zoals ik vrijdag nog van plan leek te zijn. Jullie begrijpen, lieve volgers, dat taking the long way home lang genoeg geduurd had en dat het ritje via rechtsaf naar Arabba mij op deze zondagochtend veel aangenamer leek dan het ritje via linksaf! Een tikje fris gelijk in de afdaling, maar binnen 15 km al een cappu in Alleghe. Toen omgedraaid en de makkelijke beklimmingen naar Arabba opgereden. Maar Arabba heb ik (nog) niet gehaald, want we blijken in het gehucht Cherz te zitten, aan de achterkant van de Campalongo, over de weg vier km van Arabba, en de laatste 1,5 km naar Raggio di Sole zijn, zoals te verwachten, pittig! Prachtig appartement - ik ben ruim de eerste want de andere mannen staan in de file - vriendelijke gastvrouw Claudia, en voorzien van een ligbad! Enige stats: 1550 km en 15000 hm no flats, no panne, niks vervangen 2 nachten bij vrienden gelogeerd 1 nacht in appartement 2 nachten in hotel 3 nachten wild gekampeerd 11 nachten op camping nieuw: 2 onderbroeken, 1 T-shirt, merinowollen handschoenen en een RVS mok 😊.  ;;Garmin Edge 520 Plus;5873537793
